Objet						Début	Journéeentière	Afficherladisponibilité	Catégories	Priorité	Privé
Ste Alda						26/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Marc						25/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Fidèle						24/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Georges						23/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Alexandre						22/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Anselme						21/04/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Odette						20/04/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Emma						19/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Parfait						18/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Anicet						17/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Benoît-Joseph						16/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Paterne						15/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Maxime						14/04/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Ida						13/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Jules						12/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Stanislas						11/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Fulbert						10/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Gautier						09/04/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Julie						08/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Jean-Baptiste De la Salle						07/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Marcellin						06/04/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Irène						05/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Isidore						04/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Richard						03/04/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Sandrine						02/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Hugues - L. de Pâques						01/04/2013	VRAI	3	Ephemeride	Normale	FAUX
St Benjamin - Pâques						31/03/2013	VRAI	3	Ephemeride	Normale	FAUX
St Amédée						30/03/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Gladys - Vendredi Saint						29/03/2013	VRAI	3	Ephemeride	Normale	FAUX
St Gontran						28/03/2013	VRAI	3	Ephemeride	Normale	FAUX
